"DATABASE:         Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",
PERMLINK:         www.lxcat.net/Biagi,
"DESCRIPTION:      These data were transcribed from S.F. Biagi's FORTRAN code, MagBoltz, versions 8.9 and later.",
"COMMENT: Transcribed from S.F. Biagi#039s FORTRAN code Magboltz, version 8.97, Sept 2011.",
CONTACT:          email Stephen.biagi@@hotmail.co.uk,
IONIZATION,
He -> He^+,
2.46E+01,
SPECIES: e / He,
"PROCESS: E + He -> E + E + He+, Ionization",
"PARAM.:  E = 24.5874 eV, complete set",
UPDATED: 2011-10-21 15:05:18,
COLUMNS: Energy (eV) | Cross section (m2),
-----------------------------,
2.46E+01,0.00E+00
2.46E+01,9.94E-27
2.46E+01,3.49E-24
2.47E+01,7.11E-24
2.47E+01,1.08E-23
2.47E+01,1.47E-23
2.48E+01,1.87E-23
2.48E+01,2.29E-23
2.49E+01,2.72E-23
2.49E+01,3.16E-23
2.50E+01,3.62E-23
2.50E+01,4.10E-23
2.50E+01,4.69E-23
2.51E+01,5.31E-23
2.52E+01,5.95E-23
2.52E+01,6.61E-23
2.53E+01,7.29E-23
2.53E+01,8.00E-23
2.54E+01,8.74E-23
2.54E+01,9.49E-23
2.55E+01,1.03E-22
2.56E+01,1.12E-22
2.57E+01,1.21E-22
2.57E+01,1.30E-22
2.58E+01,1.40E-22
2.59E+01,1.50E-22
2.60E+01,1.61E-22
2.60E+01,1.72E-22
2.61E+01,1.83E-22
2.62E+01,1.95E-22
2.63E+01,2.08E-22
2.64E+01,2.20E-22
2.65E+01,2.34E-22
2.66E+01,2.47E-22
2.67E+01,2.61E-22
2.68E+01,2.76E-22
2.69E+01,2.91E-22
2.71E+01,3.06E-22
2.72E+01,3.21E-22
2.73E+01,3.36E-22
2.74E+01,3.52E-22
2.76E+01,3.68E-22
2.77E+01,3.85E-22
2.79E+01,4.02E-22
2.80E+01,4.19E-22
2.82E+01,4.37E-22
2.83E+01,4.56E-22
2.85E+01,4.75E-22
2.87E+01,4.97E-22
2.88E+01,5.19E-22
2.90E+01,5.41E-22
2.92E+01,5.65E-22
2.94E+01,5.89E-22
2.96E+01,6.12E-22
2.98E+01,6.36E-22
3.00E+01,6.60E-22
3.03E+01,6.87E-22
3.05E+01,7.15E-22
3.07E+01,7.43E-22
3.10E+01,7.73E-22
3.13E+01,8.01E-22
3.15E+01,8.30E-22
3.18E+01,8.62E-22
3.21E+01,8.95E-22
3.24E+01,9.29E-22
3.27E+01,9.62E-22
3.30E+01,9.97E-22
3.34E+01,1.03E-21
3.37E+01,1.07E-21
3.41E+01,1.11E-21
3.44E+01,1.14E-21
3.48E+01,1.18E-21
3.52E+01,1.22E-21
3.56E+01,1.26E-21
3.60E+01,1.30E-21
3.65E+01,1.34E-21
3.69E+01,1.38E-21
3.74E+01,1.43E-21
3.79E+01,1.47E-21
3.84E+01,1.51E-21
3.89E+01,1.56E-21
3.94E+01,1.60E-21
4.00E+01,1.65E-21
4.06E+01,1.69E-21
4.12E+01,1.73E-21
4.18E+01,1.78E-21
4.24E+01,1.82E-21
4.31E+01,1.87E-21
4.38E+01,1.92E-21
4.45E+01,1.97E-21
4.52E+01,2.02E-21
4.60E+01,2.07E-21
4.68E+01,2.13E-21
4.76E+01,2.18E-21
4.84E+01,2.24E-21
5.63E+01,2.65E-21
7.00E+01,3.13E-21
8.00E+01,3.32E-21
9.00E+01,3.44E-21
1.00E+02,3.51E-21
1.50E+02,3.46E-21
2.00E+02,3.24E-21
3.00E+02,2.90E-21
4.31E+02,2.36E-21
5.00E+02,2.20E-21
6.40E+02,1.81E-21
9.57E+02,1.36E-21
